Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
Police officers,678,14.2,79.4,14.4,3.2,19.6,702,14.4,81.4,14.2,2.8,16.7,746,12.7,78.3,16.7,2.5,13.1,15,–,–,–,–,–,12,–,–,–,–,–
Animal control workers,2,–,–,–,–,–,10,–,–,–,–,–,9,–,–,–,–,–,753,15.3,83.3,11.5,1.6,14.6,758,17.1,85.0,10.9,1.9,14.7
Private detectives and investigators,126,42.9,71.9,21.8,2.7,12.1,123,43.0,73.5,19.2,3.1,10.4,105,38.5,83.4,11.0,2.1,13.9,6,–,–,–,–,–,8,–,–,–,–,–
Security guards and gambling surveillance officers,894,27.0,54.5,34.9,4.8,20.3,925,24.9,53.0,36.1,4.4,20.2,835,24.3,54.9,34.5,4.5,16.6,95,42.3,77.1,15.5,2.1,16.4,90,45.4,71.6,21.9,3.8,16.2
Crossing guards and flaggers,56,45.5,75.9,16.1,5.8,21.5,51,55.8,74.0,20.0,4.2,10.7,48,–,–,–,–,–,844,26.8,57.5,33.3,3.8,18.4,800,25.0,61.0,31.1,3.9,19.6
Transportation security screeners,40,–,–,–,–,–,47,–,–,–,–,–,37,–,–,–,–,–,51,52.6,70.4,23.4,3.7,6.9,46,–,–,–,–,–
School bus monitors,30,–,–,–,–,–,26,–,–,–,–,–,45,–,–,–,–,–,46,–,–,–,–,–,42,–,–,–,–,–
Other protective service workers,185,50.3,82.3,5.9,2.9,17.9,137,45.7,78.1,8.7,3.9,13.1,147,48.9,89.6,2.0,0.4,16.6,28,–,–,–,–,–,17,–,–,–,–,–
Food preparation and serving related occupations,"8,061",54.3,73.4,14.0,6.6,30.7,"8,189",53.9,73.4,13.5,6.9,29.6,"7,907",53.3,73.2,13.9,6.7,28.1,117,38.0,83.7,3.9,3.3,9.8,102,47.8,85.7,2.9,2.3,16.6
Chefs and head cooks,515,21.6,57.2,17.7,18.3,25.1,476,23.3,58.8,18.9,18.5,20.7,465,26.9,63.3,15.8,15.7,22.7,"7,370",54.6,74.6,13.4,6.3,27.8,"6,556",54.4,74.8,13.9,6.4,27.3
First-line supervisors of food preparation and serving workers,486,56.8,76.1,16.2,3.5,21.2,542,53.5,75.6,17.0,3.3,22.8,491,54.5,74.3,18.0,4.2,22.9,402,22.8,63.0,14.8,19.9,23.0,383,18.0,65.2,14.7,16.7,24.4
Cooks,"2,005",42.5,71.3,16.4,6.2,41.0,"2,016",39.8,69.1,17.2,7.0,39.6,"2,012",38.4,69.4,17.7,5.9,36.1,480,61.2,71.6,19.9,4.2,21.2,466,59.4,76.2,16.4,3.7,22.6
Food preparation workers,895,58.5,73.7,15.0,5.9,33.2,933,58.7,71.1,15.5,4.9,29.8,932,55.1,72.1,15.2,5.9,30.3,"1,905",40.2,72.9,15.8,6.0,35.9,"1,763",42.1,74.3,16.0,5.4,36.0
Bartenders,450,54.3,83.9,8.2,2.0,21.5,408,50.8,85.9,7.3,3.1,22.3,457,59.0,82.0,7.7,2.0,21.1,872,58.3,74.2,14.0,5.6,29.3,808,58.1,74.5,13.6,6.8,29.2
Fast food and counter workers,831,66.6,74.7,13.9,5.2,22.8,885,66.3,77.6,10.0,5.2,24.6,784,64.2,70.7,12.7,7.7,21.4,362,57.4,85.8,4.9,2.0,19.9,301,48.9,87.3,5.2,2.1,16.7
Waiters and waitresses,"1,786",67.8,76.6,9.5,7.4,27.5,"1,805",68.8,75.5,9.9,8.5,26.4,"1,762",68.2,77.9,9.7,8.3,24.5,775,65.7,75.2,13.0,5.7,23.3,655,67.0,72.2,16.6,5.0,22.6
"Food servers, nonrestaurant",221,67.4,70.9,18.2,7.5,27.7,215,69.2,69.7,18.9,6.9,24.9,200,71.9,69.9,21.9,6.8,23.5,"1,631",68.2,78.4,8.9,6.6,24.7,"1,388",70.0,75.8,11.3,7.2,22.1
Dining room and cafeteria attendants and bartender helpers,274,43.8,75.4,15.0,3.7,35.2,303,43.3,81.3,9.7,4.6,32.6,269,45.4,76.0,10.0,4.7,35.0,172,73.9,66.6,22.1,5.1,16.7,157,77.1,68.6,18.8,7.7,22.0
Dishwashers,277,26.9,69.5,18.3,4.8,42.5,268,23.1,73.1,14.5,4.0,37.9,235,20.2,70.9,18.9,3.3,32.8,243,46.8,76.6,14.0,4.1,33.0,231,49.7,73.1,15.3,8.2,27.3
"Hosts and hostesses, restaurant, lounge, and coffee shop",310,82.3,76.3,12.5,5.8,22.9,327,86.5,80.6,8.2,5.1,25.9,293,84.0,81.8,7.2,5.2,27.4,243,23.5,72.0,17.3,2.7,34.6,184,19.2,77.2,12.7,4.4,37.6
"Food preparation and serving related workers, all other",10,–,–,–,–,–,9,–,–,–,–,–,9,–,–,–,–,–,282,84.3,77.1,9.7,5.8,22.4,218,81.9,81.3,9.4,3.5,21.7
Building and grounds cleaning and maintenance occupations,"5,770",40.7,78.6,14.1,2.8,41.6,"5,534",42.1,78.1,14.3,2.7,41.6,"5,576",42.0,78.7,14.0,3.1,40.4,2,–,–,–,–,–,3,–,–,–,–,–
First-line supervisors of housekeeping and janitorial workers,366,45.9,76.8,17.2,3.0,27.3,321,44.1,77.2,17.3,2.1,31.8,314,42.5,76.8,18.6,2.4,28.4,"5,482",41.7,78.0,14.2,3.4,38.3,"5,084",40.3,78.2,14.2,3.1,37.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",284,7.1,87.0,7.1,1.7,34.3,283,8.0,84.7,12.0,1.4,30.4,281,8.2,83.4,11.9,1.1,29.1,338,38.9,81.2,13.1,3.4,30.0,321,42.5,79.6,13.4,3.2,30.9
Janitors and building cleaners,"2,304",35.9,75.6,16.7,3.0,35.7,"2,204",38.7,76.2,16.7,2.6,35.1,"2,183",40.2,75.4,17.4,3.2,34.6,233,10.3,88.6,6.6,1.0,27.0,253,6.0,84.9,7.8,3.2,25.1
Maids and housekeeping cleaners,"1,413",87.7,76.3,15.2,4.6,52.5,"1,380",88.4,74.0,16.1,4.3,51.9,"1,364",88.1,75.6,15.7,4.3,51.0,"2,113",39.7,73.8,18.1,3.5,31.5,"2,043",38.6,74.7,17.0,3.9,33.6
Pest control workers,100,8.7,81.1,13.2,0.0,22.0,90,5.1,84.7,9.2,1.7,21.6,100,6.0,87.3,7.7,3.6,23.5,"1,357",88.7,74.9,15.2,5.2,48.2,"1,163",88.3,73.7,17.3,4.1,46.1
Landscaping and groundskeeping workers,"1,193",6.2,84.6,9.7,0.9,48.1,"1,119",7.3,84.0,8.6,1.7,49.6,"1,213",7.2,85.2,7.1,2.3,46.5,119,5.0,81.5,10.0,2.5,19.5,112,2.5,85.3,6.2,0.5,30.9
Tree trimmers and pruners,89,1.8,89.0,2.7,2.1,43.3,118,3.0,85.3,5.5,1.6,36.7,104,7.2,96.0,1.7,0.0,35.6,"1,211",6.2,84.9,9.2,1.8,47.1,"1,066",6.5,85.6,9.0,1.0,44.5
Other grounds maintenance workers,22,–,–,–,–,–,19,–,–,–,–,–,18,–,–,–,–,–,98,2.2,86.3,9.0,1.3,19.9,109,7.0,88.0,7.7,0.1,21.6
Personal care and service occupations,"4,055",76.1,70.5,14.3,10.6,19.4,"4,220",74.8,71.9,13.5,10.5,19.8,"3,968",77.1,73.8,12.2,9.9,18.3,13,–,–,–,–,–,17,–,–,–,–,–
Supervisors of personal care and service workers,242,67.7,64.8,14.0,17.6,14.5,253,65.8,65.3,10.6,20.5,11.2,232,77.8,68.7,13.8,14.2,12.0,"3,676",78.7,73.0,12.5,10.1,18.0,"3,399",77.0,72.8,13.2,10.1,16.1
Animal trainers,63,82.3,81.6,8.2,3.0,13.8,82,69.1,86.9,4.1,0.0,22.0,66,67.6,93.5,0.0,2.0,5.4,250,74.6,67.8,16.4,11.3,11.2,237,71.7,68.7,10.3,16.2,13.9
Animal caretakers,334,73.7,83.8,8.8,2.8,12.3,361,76.0,87.8,6.0,1.3,16.5,305,76.9,88.1,3.6,3.3,12.8,54,68.3,89.8,8.0,0.0,6.9,72,52.6,88.5,7.5,0.0,12.7
Gambling services workers,93,42.5,56.0,11.5,22.5,11.8,90,40.2,52.5,22.4,16.3,14.1,74,41.5,66.1,8.3,20.6,7.8,272,81.6,85.8,4.7,4.6,13.3,272,76.5,90.0,4.7,1.7,13.9
"Ushers, lobby attendants, and ticket takers",40,–,–,–,–,–,34,–,–,–,–,–,39,–,–,–,–,–,66,50.8,55.8,9.7,29.1,12.4,64,50.6,49.2,14.5,25.3,15.5
Other entertainment attendants and related workers,201,43.5,76.6,12.9,4.1,17.0,231,42.9,76.7,14.0,6.4,14.8,237,46.2,79.5,10.3,4.5,19.5,29,–,–,–,–,–,22,–,–,–,–,–
"Embalmers, crematory operators, and funeral attendants",19,–,–,–,–,–,21,–,–,–,–,–,28,–,–,–,–,–,192,45.6,79.2,10.3,4.1,13.7,144,37.1,78.8,10.0,6.2,12.6
"Morticians, undertakers, and funeral arrangers",33,–,–,–,–,–,45,–,–,–,–,–,36,–,–,–,–,–,14,–,–,–,–,–,14,–,–,–,–,–
Barbers,144,21.1,62.2,32.1,4.5,36.6,149,28.4,61.5,31.1,4.6,39.3,123,24.8,58.4,27.1,9.8,40.4,30,–,–,–,–,–,19,–,–,–,–,–
"Hairdressers, hairstylists, and cosmetologists",726,91.3,76.7,13.7,5.1,21.1,717,92.1,77.0,13.2,6.8,18.0,720,93.1,78.6,13.7,6.0,18.8,103,24.7,68.0,22.5,5.2,40.5,102,25.6,64.9,28.2,4.1,31.2
Manicurists and pedicurists,309,85.9,22.8,9.3,64.9,13.4,324,83.5,23.8,6.4,64.8,13.7,295,85.1,24.5,7.6,65.4,15.2,713,92.4,79.0,12.8,6.1,17.7,646,90.8,77.5,14.4,5.1,14.6
Skincare specialists,103,95.2,82.6,7.6,5.4,21.1,102,99.0,72.7,17.7,3.4,25.6,96,98.7,78.8,4.4,7.5,21.5,247,83.0,19.6,4.8,73.1,12.2,214,79.3,14.2,6.9,76.7,7.3
Other personal appearance workers,35,–,–,–,–,–,21,–,–,–,–,–,30,–,–,–,–,–,90,98.2,73.2,8.8,8.4,13.8,72,93.9,72.9,4.7,15.9,22.2
"Baggage porters, bellhops, and concierges",81,29.9,52.7,37.6,6.6,24.3,78,29.1,65.5,20.2,11.0,34.7,78,35.7,71.7,20.0,6.9,16.1,26,–,–,–,–,–,19,–,–,–,–,–
Tour and travel guides,57,38.7,89.6,1.7,3.9,13.0,55,48.2,85.4,3.6,8.0,9.1,58,47.9,84.9,6.3,4.1,5.9,84,28.0,62.4,17.4,9.6,20.7,60,32.5,61.1,24.6,8.6,33.7
Childcare workers,984,94.4,73.6,15.9,5.8,24.9,"1,036",93.8,76.5,15.8,3.8,25.9,"1,007",94.3,77.6,13.5,3.7,23.9,42,–,–,–,–,–,47,–,–,–,–,–
Exercise trainers and group fitness instructors,242,60.2,83.1,9.2,3.6,20.0,257,56.7,78.9,10.9,6.2,16.8,234,62.9,81.8,11.1,3.5,12.8,974,94.6,77.6,14.0,4.4,24.4,928,94.8,76.6,16.1,3.8,21.6
Recreation workers,156,68.6,73.3,16.5,3.6,12.1,182,58.9,74.9,17.7,2.5,12.9,158,61.2,79.5,15.1,1.8,11.8,223,62.2,79.7,11.9,2.8,16.9,202,67.1,83.0,11.9,2.1,10.1
Residential advisors,47,–,–,–,–,–,40,–,–,–,–,–,28,–,–,–,–,–,139,68.7,76.0,18.0,2.2,11.8,131,63.8,79.8,12.6,2.4,10.4
"Personal care and service workers, all other",146,67.3,75.2,13.8,5.6,15.1,143,60.7,79.2,8.3,7.8,20.9,122,64.7,85.1,7.6,4.0,19.9,26,–,–,–,–,–,33,–,–,–,–,–
,,,,,,,,,,,,,,,,,,,101,72.0,78.7,14.7,3.0,20.4,102,71.9,71.6,15.8,6.9,10.4
Sales and office occupations,"29,885",60.4,77.3,13.0,5.7,18.3,"30,279",60.6,77.3,13.5,5.5,17.6,"30,412",61.3,77.7,13.1,5.4,17.8,,,,,,,,,,,,
Sales and related occupations,"14,090",47.9,79.0,10.8,6.3,17.7,"14,325",48.7,78.8,11.7,6.1,16.6,"14,316",49.4,79.6,11.0,5.7,17.4,"30,166",61.5,77.9,13.2,5.1,17.2,"29,726",61.3,78.7,12.5,5.1,17.3
First-line supervisors of retail sales workers,"3,001",44.4,79.0,9.6,7.7,15.3,"3,157",44.6,78.6,11.1,6.8,14.2,"3,081",45.2,78.5,10.8,6.7,15.9,"14,369",49.8,79.7,11.2,5.4,16.7,"14,168",48.7,80.2,10.6,5.5,17.1
First-line supervisors of non-retail sales workers,"1,141",35.7,81.8,8.5,6.6,15.7,"1,268",35.9,83.8,8.3,6.2,16.4,"1,203",35.2,82.5,7.7,6.5,15.5,"3,058",47.0,79.5,10.3,6.2,15.1,"3,067",44.7,80.3,9.4,6.3,15.3
Cashiers,"2,569",68.9,70.3,16.1,7.9,23.6,"2,576",69.8,69.9,16.3,8.1,22.7,"2,712",71.8,71.9,16.2,6.6,24.4,"1,184",32.9,83.8,7.2,5.5,12.2,"1,176",31.7,84.7,6.7,6.8,14.2
Counter and rental clerks,62,48.0,71.7,13.7,9.5,13.1,79,38.7,73.0,17.8,7.0,22.5,83,40.8,88.1,8.0,1.6,23.8,"2,601",72.5,71.1,17.0,6.9,22.9,"2,552",73.1,71.1,17.1,6.3,25.5
Parts salespersons,123,24.5,90.7,4.3,2.1,15.6,117,22.9,91.7,5.4,1.2,16.2,108,16.9,93.9,3.0,0.5,19.7,81,49.0,78.0,11.4,6.7,28.6,69,35.7,82.2,10.8,1.5,13.9
Retail salespersons,"2,734",47.5,79.9,11.1,4.9,21.1,"2,721",49.2,77.6,13.4,5.2,19.6,"2,582",49.4,79.6,12.1,4.6,18.8,124,19.1,90.2,6.8,0.7,17.2,119,16.0,89.2,8.2,1.1,11.6
Advertising sales agents,124,54.0,89.5,3.3,4.4,12.4,111,52.7,89.6,7.3,2.7,8.4,130,52.1,85.6,7.8,5.4,9.9,"2,750",48.5,78.3,13.0,4.8,20.8,"2,751",47.5,78.7,12.2,4.5,18.5
Insurance sales agents,589,51.1,79.0,13.5,4.6,18.3,632,54.9,80.6,13.3,4.1,18.2,614,49.2,78.2,13.5,4.3,16.8,104,49.3,86.0,9.9,3.6,15.5,141,53.8,89.6,5.5,2.4,16.4
"Securities, commodities, and financial services sales agents",242,28.1,75.3,11.0,12.7,11.6,249,24.6,80.7,8.6,9.0,11.8,226,30.3,83.8,6.5,9.1,9.3,600,50.0,81.5,11.8,4.1,16.5,641,50.1,79.9,10.8,5.7,14.0
Travel agents,87,87.2,75.5,8.8,6.1,12.3,77,79.7,85.3,9.2,5.5,16.0,71,81.9,78.1,14.7,6.7,6.9,243,29.3,79.9,6.6,11.7,10.2,242,22.8,85.2,4.3,9.0,8.2
"Sales representatives of services, except advertising, insurance, financial services, and travel",701,31.5,82.4,7.8,5.3,13.1,638,31.6,82.7,10.7,4.1,10.1,615,29.0,86.3,6.2,4.5,10.8,56,71.4,86.8,6.9,4.7,11.5,51,79.5,85.0,7.3,7.3,5.4
"Sales representatives, wholesale and manufacturing","1,116",25.1,87.8,6.2,3.8,14.2,"1,152",27.9,87.8,6.0,4.1,11.0,"1,155",28.7,87.5,6.3,4.3,13.5,565,29.9,85.3,6.8,5.0,11.6,563,34.0,85.4,7.7,4.9,12.1
"Models, demonstrators, and product promoters",52,77.1,64.1,12.4,6.6,33.6,33,–,–,–,–,–,23,–,–,–,–,–,"1,216",30.1,88.1,6.2,3.3,12.0,"1,217",30.5,88.8,4.5,4.2,13.6
Real estate brokers and sales agents,"1,016",56.7,82.3,9.7,6.0,12.7,"1,031",57.0,81.4,8.8,6.6,11.2,"1,182",56.9,82.4,8.4,5.7,13.5,30,–,–,–,–,–,28,–,–,–,–,–
Sales engineers,47,–,–,–,–,–,41,–,–,–,–,–,51,8.1,85.2,0.2,13.1,5.4,"1,170",59.7,84.8,8.3,4.4,12.1,"1,037",57.5,84.9,7.9,5.0,14.5
Telemarketers,22,–,–,–,–,–,31,–,–,–,–,–,39,–,–,–,–,–,41,–,–,–,–,–,35,–,–,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",62,45.4,80.0,17.5,1.4,25.4,73,54.3,71.4,15.4,2.7,24.3,73,57.4,87.0,5.9,2.0,26.0,33,–,–,–,–,–,48,–,–,–,–,–
"Sales and related workers, all other",402,52.8,80.3,11.6,4.8,16.9,339,56.1,81.0,12.0,5.1,17.4,369,59.2,81.5,10.2,4.8,18.7,104,72.6,89.0,6.2,2.9,19.4,114,62.4,81.9,13.3,1.5,22.4
Office and administrative support occupations,"15,795",71.6,75.8,15.0,5.2,18.7,"15,954",71.2,75.9,15.1,5.0,18.5,"16,096",71.9,76.0,15.0,5.1,18.2,410,53.5,78.5,12.2,5.0,13.8,317,52.2,79.6,12.6,4.4,13.8
First-line supervisors of office and administrative support workers,"1,186",68.2,81.1,10.8,4.2,15.2,"1,154",65.8,80.6,12.5,3.5,16.6,"1,199",67.9,80.5,12.3,3.9,15.5,"15,797",72.2,76.2,15.0,4.8,17.7,"15,558",72.7,77.4,14.3,4.7,17.4
"Switchboard operators, including answering service",12,–,–,–,–,–,18,–,–,–,–,–,16,–,–,–,–,–,"1,217",71.3,80.6,12.0,3.9,14.0,"1,273",69.2,80.6,12.8,3.9,13.6
Telephone operators,16,–,–,–,–,–,17,–,–,–,–,–,26,–,–,–,–,–,8,–,–,–,–,–,12,–,–,–,–,–
"Communications equipment operators, all other",7,–,–,–,–,–,1,–,–,–,–,–,5,–,–,–,–,–,23,–,–,–,–,–,23,–,–,–,–,–
Bill and account collectors,113,74.8,64.9,30.2,2.4,19.1,87,71.2,66.1,25.8,5.5,15.0,103,68.8,75.0,20.6,3.6,9.3,5,–,–,–,–,–,8,–,–,–,–,–
Billing and posting clerks,392,86.6,77.1,15.5,3.9,17.6,436,91.4,79.0,14.8,3.8,16.5,463,87.6,77.0,14.8,4.4,17.3,97,72.1,72.5,21.6,2.8,17.2,98,66.0,72.1,23.9,2.1,15.8
"Bookkeeping, accounting, and auditing clerks","1,197",85.1,82.1,8.6,6.2,13.8,"1,210",86.2,83.9,7.2,5.8,15.9,"1,132",85.0,82.5,8.7,5.7,14.9,483,86.7,76.7,16.9,3.8,17.6,434,89.1,74.7,15.5,4.8,15.3
Gambling cage workers,20,–,–,–,–,–,29,–,–,–,–,–,23,–,–,–,–,–,"1,097",84.7,85.3,6.6,5.4,13.1,"1,179",87.3,86.5,7.7,4.0,14.2
Payroll and timekeeping clerks,130,91.2,79.2,12.0,6.0,18.0,132,88.2,76.7,12.3,8.2,19.4,126,92.4,80.0,11.2,5.0,24.6,15,–,–,–,–,–,13,–,–,–,–,–
Procurement clerks,48,–,–,–,–,–,46,–,–,–,–,–,30,–,–,–,–,–,153,86.7,68.9,14.8,6.9,18.7,146,86.9,81.6,10.2,3.4,12.4
Tellers,231,80.9,73.6,15.2,5.7,17.7,204,78.9,75.3,15.4,4.3,16.2,218,83.1,79.8,9.4,6.2,21.3,29,–,–,–,–,–,34,–,–,–,–,–
"Financial clerks, all other",148,60.9,73.0,12.4,10.7,19.8,128,57.7,73.7,14.7,11.2,11.9,128,52.0,76.8,13.2,7.0,14.8,215,76.1,75.6,16.6,3.5,20.7,279,80.4,82.5,12.2,3.7,17.7
Brokerage clerks,8,–,–,–,–,–,6,–,–,–,–,–,8,–,–,–,–,–,92,58.3,75.1,10.1,8.6,10.2,103,66.1,80.8,8.2,7.3,13.1
Correspondence clerks,7,–,–,–,–,–,4,–,–,–,–,–,3,–,–,–,–,–,9,–,–,–,–,–,6,–,–,–,–,–
"Court, municipal, and license clerks",74,81.4,75.1,20.2,0.5,22.1,82,71.9,77.6,18.5,1.9,10.9,84,83.8,71.3,24.8,0.4,13.7,7,–,–,–,–,–,4,–,–,–,–,–
"Credit authorizers, checkers, and clerks",28,–,–,–,–,–,32,–,–,–,–,–,45,–,–,–,–,–,77,76.4,80.5,14.7,1.0,14.6,76,85.1,69.5,23.1,2.7,12.1
Customer service representatives,"2,632",65.7,72.2,18.0,5.7,21.4,"2,822",65.3,72.0,18.2,5.3,19.8,"2,714",64.8,73.0,17.6,5.5,19.7,41,–,–,–,–,–,55,64.9,80.0,7.8,7.8,17.1
"Eligibility interviewers, government programs",76,76.5,66.5,28.1,0.0,26.5,94,79.7,58.9,29.2,2.6,19.9,80,75.0,61.1,24.6,6.2,22.6,"2,512",64.8,71.8,18.5,5.4,19.7,"2,404",63.8,73.1,17.7,4.9,19.6
File Clerks,125,78.1,72.4,15.3,5.0,21.4,130,76.0,79.0,15.4,4.5,17.0,127,78.6,73.9,15.0,4.1,17.4,60,87.1,60.9,25.2,6.2,18.6,82,81.8,61.5,20.7,11.4,26.8
"Hotel, motel, and resort desk clerks",85,74.4,71.7,20.0,4.4,11.9,106,67.5,61.9,19.4,10.6,17.8,132,66.5,64.8,15.3,8.8,24.5,161,80.1,76.0,14.4,4.1,17.2,161,77.6,83.0,8.8,5.6,16.0
"Interviewers, except eligibility and loan",188,76.9,59.6,29.0,5.1,15.6,205,79.6,62.3,25.2,3.0,24.9,171,78.0,70.4,18.7,4.0,19.3,119,70.3,67.1,16.1,7.2,24.0,91,82.6,69.1,21.9,3.0,27.7
"Library assistants, clerical",66,84.2,71.1,13.8,7.2,13.4,71,83.2,72.8,11.9,8.7,7.9,76,78.5,77.0,7.9,14.5,8.6,203,75.9,66.7,23.9,1.7,18.6,208,78.3,72.1,20.5,3.4,18.1
Loan interviewers and clerks,102,71.2,83.2,14.2,0.8,9.9,125,76.9,83.5,13.6,2.4,17.4,169,68.8,83.6,11.9,2.7,15.6,88,84.2,87.5,6.9,3.3,8.2,65,86.0,82.8,10.3,5.7,9.0
New accounts clerks,15,–,–,–,–,–,18,–,–,–,–,–,14,–,–,–,–,–,144,69.4,74.8,20.0,2.6,16.5,151,76.1,71.8,19.4,6.1,18.0
Order clerks,94,56.7,80.2,9.0,6.6,26.3,106,58.3,75.6,12.3,10.0,25.8,124,54.2,68.5,14.5,12.7,18.0,12,–,–,–,–,–,24,–,–,–,–,–
"Human resources assistants, except payroll and timekeeping",93,84.6,71.5,18.1,8.6,18.3,84,88.1,79.1,13.7,6.0,16.8,89,89.1,70.6,17.9,7.2,7.0,112,56.5,72.5,10.7,9.7,15.3,113,54.5,76.4,9.5,6.1,19.6
Receptionists and information clerks,"1,201",88.4,77.7,13.7,4.7,22.2,"1,196",89.1,78.6,12.8,3.5,22.5,"1,171",90.3,76.8,15.5,3.9,21.6,38,–,–,–,–,–,44,–,–,–,–,–
Reservation and transportation ticket agents and travel clerks,117,48.3,62.8,19.7,8.0,23.6,123,45.9,69.7,19.9,7.8,19.1,112,43.1,66.9,20.4,8.4,21.5,"1,215",90.0,75.8,15.2,4.5,21.0,"1,147",88.3,78.8,12.6,3.6,22.2
"Information and record clerks, all other",112,78.3,72.6,20.7,3.9,18.5,92,77.1,68.2,17.5,4.6,18.4,93,74.5,72.4,17.1,7.6,18.0,93,53.2,68.4,15.9,8.5,16.0,108,52.5,59.1,26.1,7.7,17.8
Cargo and freight agents,13,–,–,–,–,–,26,–,–,–,–,–,29,–,–,–,–,–,107,76.0,76.3,14.7,6.0,14.4,113,74.3,78.7,16.4,1.7,26.3
Couriers and messengers,889,29.8,68.4,21.6,5.7,23.6,929,27.8,67.6,23.7,5.1,21.7,936,26.5,69.8,21.6,4.4,23.6,10,–,–,–,–,–,24,–,–,–,–,–
Public safety telecommunicators,80,59.2,86.1,8.4,0.5,14.7,76,78.2,77.0,17.5,2.0,7.2,82,82.5,72.3,18.4,3.1,11.1,837,24.9,72.1,19.4,2.8,23.3,578,22.6,69.9,21.1,4.4,23.1
"Dispatchers, except police, fire, and ambulance",172,57.5,81.6,7.6,6.3,26.5,184,54.4,74.4,14.3,4.5,19.2,181,58.9,78.0,17.8,2.0,22.7,88,74.3,78.9,15.8,4.5,9.4,104,64.1,89.1,10.1,0.4,13.4
"Meter readers, utilities",15,–,–,–,–,–,14,–,–,–,–,–,16,–,–,–,–,–,189,47.5,81.9,12.6,2.6,29.2,205,50.8,75.2,16.3,2.5,19.0
Postal service clerks,92,53.1,50.4,40.1,6.7,8.8,96,54.1,55.0,36.0,2.9,8.4,107,56.1,51.7,40.4,5.3,11.6,33,–,–,–,–,–,25,–,–,–,–,–
Postal service mail carriers,309,33.9,66.3,21.2,8.5,9.0,302,34.7,69.3,21.9,5.7,13.3,280,41.5,69.0,22.4,6.5,11.6,105,58.8,48.1,40.0,10.3,6.3,91,62.1,49.5,38.4,9.6,10.2
"Postal service mail sorters, processors, and processing machine operators",44,–,–,–,–,–,65,63.1,35.8,48.4,6.1,11.8,59,56.6,43.2,38.5,14.6,8.2,273,42.3,71.2,21.4,5.4,10.8,312,36.7,72.7,18.7,6.8,13.6
"Production, planning, and expediting clerks",223,51.2,81.6,11.2,5.2,13.9,212,43.6,81.7,6.5,7.2,16.1,212,48.9,76.3,11.3,7.8,11.3,82,45.9,42.0,42.9,13.2,8.7,66,46.9,49.0,31.1,18.7,6.1
"Shipping, receiving, and inventory clerks",613,35.9,75.8,16.1,4.2,29.8,621,36.8,77.8,12.5,5.5,29.1,645,37.1,75.9,13.3,7.5,28.8,212,50.0,77.6,8.4,10.0,14.1,244,50.3,78.8,11.5,4.6,15.2
"Weighers, measurers, checkers, and samplers, recordkeeping",69,57.8,71.8,25.2,1.6,20.6,67,48.7,75.6,15.1,0.0,32.5,59,42.5,80.7,12.8,3.3,23.8,615,36.9,74.3,16.2,4.8,29.1,572,33.6,72.6,19.1,4.0,26.8
Executive secretaries and executive administrative assistants,234,95.6,70.2,19.3,5.7,18.7,210,90.0,73.6,18.5,4.1,15.0,244,94.8,79.4,10.5,5.9,15.7,49,–,–,–,–,–,58,40.0,74.3,20.5,1.7,20.8
Legal secretaries and administrative assistants,43,–,–,–,–,–,54,96.4,71.3,18.4,6.1,15.0,46,–,–,–,–,–,223,96.4,88.3,6.0,3.2,12.9,196,92.5,83.0,12.8,3.3,9.8
Medical secretaries and administrative assistants,85,92.9,81.7,7.9,5.9,22.5,103,92.8,84.4,8.2,5.1,18.7,74,97.3,65.3,21.8,4.5,12.5,49,–,–,–,–,–,54,83.9,83.3,9.7,4.5,13.2
"Secretaries and administrative assistants, except legal, medical, and executive","1,758",91.4,83.3,9.2,4.0,14.5,"1,841",91.9,82.9,11.1,3.1,14.8,"1,915",92.5,83.3,9.5,3.5,14.6,58,95.0,78.0,14.6,2.4,17.3,72,93.3,81.2,8.2,7.6,18.5
Data entry keyers,226,72.6,71.4,15.8,7.6,19.3,224,72.7,70.1,16.1,7.6,17.6,237,69.8,72.6,15.8,6.1,11.7,"2,009",92.5,83.8,9.7,3.2,14.0,"2,080",92.9,83.8,10.3,3.2,13.8
Word processors and typists,43,–,–,–,–,–,46,–,–,–,–,–,35,–,–,–,–,–,220,76.2,74.5,14.9,7.0,19.2,228,74.4,72.2,17.6,5.1,15.8
Desktop publishers,1,–,–,–,–,–,3,–,–,–,–,–,1,–,–,–,–,–,37,–,–,–,–,–,44,–,–,–,–,–
Insurance claims and policy processing clerks,299,78.7,72.0,21.9,3.3,17.7,308,80.1,72.3,19.2,6.1,17.9,314,84.7,67.5,25.8,3.5,17.6,1,–,–,–,–,–,0,–,–,–,–,–
