Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
First-line supervisors of security workers,67,"1,200",70,"1,033",70,"1,120",66,"1,147",67,946
"First-line supervisors of protective service workers, all other",0,–,3,–,2,–,7,–,8,–
Firefighters,275,"1,438",297,"1,351",289,"1,356",278,"1,291",320,"1,233"
Fire inspectors,17,–,19,–,36,–,24,–,21,–
Bailiffs,14,–,12,–,19,–,20,–,11,–
Correctional officers and jailers,295,990,294,"1,073",279,907,275,920,337,907
Detectives and criminal investigators,152,"1,800",132,"1,732",132,"1,704",120,"1,294",146,"1,437"
Fish and game wardens,7,–,5,–,9,–,6,–,5,–
Parking enforcement workers,3,–,7,–,6,–,12,–,7,–
Police officers,624,"1,458",709,"1,320",758,"1,229",751,"1,232",742,"1,155"
Animal control workers,1,–,12,–,8,–,7,–,9,–
Private detectives and investigators,116,"1,307",95,"1,326",85,"1,088",70,"1,018",72,979
Security guards and gambling surveillance officers,735,768,730,788,732,724,675,689,673,650
Crossing guards and flaggers,26,–,24,–,15,–,22,–,17,–
Transportation security screeners,41,–,45,–,35,–,42,–,40,–
School bus monitors,4,–,9,–,23,–,14,–,0,–
Other protective service workers,56,813,44,–,45,–,48,–,37,–
Food preparation and serving related occupations,"4,200",689,"4,325",660,"4,125",622,"3,863",573,"3,353",530
Chefs and head cooks,437,863,391,816,392,771,319,750,321,696
First-line supervisors of food preparation and serving workers,331,817,432,728,362,731,349,621,335,602
Cooks,"1,230",671,"1,259",655,"1,247",611,"1,187",549,"1,026",510
Food preparation workers,472,648,484,619,476,595,439,547,355,510
Bartenders,250,764,208,764,250,707,217,668,169,648
Fast food and counter workers,263,623,288,610,237,557,268,507,231,468
Waiters and waitresses,752,664,828,642,786,606,674,576,600,514
"Food servers, nonrestaurant",139,693,91,623,86,649,102,544,85,531
Dining room and cafeteria attendants and bartender helpers,119,691,132,593,94,594,102,509,99,508
Dishwashers,133,636,133,598,120,583,128,512,83,528
"Hosts and hostesses, restaurant, lounge, and coffee shop",68,609,73,594,70,611,77,498,46,–
"Food preparation and serving related workers, all other",6,–,7,–,5,–,1,–,4,–
Building and grounds cleaning and maintenance occupations,"3,634",729,"3,520",692,"3,518",671,"3,347",623,"3,138",603
First-line supervisors of housekeeping and janitorial workers,174,"1,007",177,896,152,833,176,829,171,738
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",107,"1,071",93,928,94,895,76,900,108,786
Janitors and building cleaners,"1,569",727,"1,505",696,"1,503",683,"1,437",630,"1,372",614
Maids and housekeeping cleaners,799,678,834,619,823,592,744,546,629,503
Pest control workers,102,897,90,848,90,798,108,868,90,749
Landscaping and groundskeeping workers,788,714,713,703,769,681,738,622,665,605
Tree trimmers and pruners,77,899,92,775,73,916,59,846,82,666
Other grounds maintenance workers,17,–,18,–,13,–,9,–,21,–
Personal care and service occupations,"1,631",757,"1,799",725,"1,728",686,"1,543",618,"1,380",616
Supervisors of personal care and service workers,82,982,97,855,89,743,92,784,96,761
Animal trainers,30,–,31,–,23,–,27,–,34,–
Animal caretakers,145,718,161,704,144,623,133,595,108,626
Gambling services workers,58,"1,009",66,893,53,890,54,852,53,765
"Ushers, lobby attendants, and ticket takers",14,–,7,–,9,–,9,–,3,–
Other entertainment attendants and related workers,76,707,87,707,92,686,68,615,47,–
"Embalmers, crematory operators, and funeral attendants",8,–,13,–,19,–,3,–,8,–
"Morticians, undertakers, and funeral arrangers",28,–,28,–,20,–,18,–,10,–
Barbers,39,–,69,655,48,–,36,–,49,–
"Hairdressers, hairstylists, and cosmetologists",221,771,239,740,274,679,252,604,205,606
Manicurists and pedicurists,171,750,197,772,178,677,153,655,110,607
Skincare specialists,40,–,46,–,33,–,27,–,23,–
Other personal appearance workers,9,–,11,–,13,–,2,–,5,–
"Baggage porters, bellhops, and concierges",61,816,67,676,66,702,62,612,44,–
Tour and travel guides,25,–,14,–,16,–,10,–,16,–
Childcare workers,380,693,379,635,413,606,402,569,383,537
Exercise trainers and group fitness instructors,65,805,71,956,57,815,54,729,53,618
Recreation workers,108,730,129,776,111,726,88,652,80,715
Residential advisors,17,–,17,–,16,–,22,–,17,–
