Occupation,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022
Magnetic resonance imaging technologists,46,–,–,–,–,–,52,64.6,69.7,14.2,12.1,9.3
Nuclear medicine technologists and medical dosimetrists,42,–,–,–,–,–,28,–,–,–,–,–
Emergency medical technicians,156,39.4,84.0,9.2,4.0,16.6,139,38.3,82.4,9.1,5.3,15.6
Paramedics,107,29.5,83.8,8.5,5.4,7.6,107,23.6,90.9,1.6,6.7,9.0
Pharmacy technicians,330,79.3,70.3,14.8,9.3,17.6,355,82.4,66.1,19.0,10.1,17.3
Psychiatric technicians,113,69.5,59.2,33.0,4.2,22.6,91,78.9,61.0,31.6,4.2,19.8
Surgical technologists,110,76.9,72.0,22.0,2.8,12.1,93,83.3,70.2,22.6,2.1,13.1
Veterinary technologists and technicians,142,89.9,89.8,5.7,2.5,10.2,148,88.4,92.3,1.1,2.0,11.5
Dietetic technicians and ophthalmic medical technicians,70,73.7,65.0,26.3,1.9,6.5,68,77.9,66.5,23.2,3.1,11.8
Licensed practical and licensed vocational nurses,584,88.7,59.2,31.8,5.8,12.6,588,88.9,63.3,29.1,4.9,12.3
Medical records specialists,211,88.9,75.0,14.4,6.2,12.2,193,88.2,74.8,14.9,5.5,10.9
"Opticians, dispensing",49,–,–,–,–,–,46,–,–,–,–,–
Miscellaneous health technologists and technicians,146,72.7,65.7,18.9,7.9,10.0,146,65.8,63.8,22.1,8.9,17.2
Other healthcare practitioners and technical occupations,130,66.7,74.5,13.8,9.0,10.6,91,66.8,77.1,8.2,6.2,11.3
,,,,,,,,,,,,
Service occupations,"26,171",57.2,71.7,17.0,6.3,27.3,"25,438",57.0,72.3,16.8,6.1,26.3
Healthcare support occupations,"5,123",84.3,62.7,25.0,7.6,21.2,"4,930",84.6,62.6,25.8,7.4,21.3
Home health aides,585,87.2,53.3,29.8,14.0,24.9,617,86.7,52.5,32.5,11.1,28.9
Personal care aides,"1,521",79.8,61.8,25.3,7.9,21.7,"1,407",80.2,60.8,26.2,8.0,21.0
Nursing assistants,"1,261",90.1,51.8,38.1,6.5,15.0,"1,236",90.0,55.4,36.0,5.6,15.3
Orderlies and psychiatric aides,67,53.5,59.6,33.0,5.4,22.1,59,51.8,56.7,30.0,3.7,18.6
Occupational therapy assistants and aides,30,–,–,–,–,–,25,–,–,–,–,–
Physical therapist assistants and aides,106,68.7,86.0,4.3,1.3,8.0,77,71.7,84.2,5.7,4.7,7.6
Massage therapists,145,83.7,82.3,8.0,6.5,12.4,149,80.4,71.2,8.5,12.2,11.1
Dental assistants,288,92.8,82.6,8.4,4.9,32.1,327,94.1,77.5,9.8,9.0,28.3
Medical assistants,593,88.8,74.7,15.0,5.2,31.8,541,89.2,75.7,15.7,5.6,32.9
Medical transcriptionists,41,–,–,–,–,–,38,–,–,–,–,–
Pharmacy aides,32,–,–,–,–,–,45,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,77,79.6,85.7,3.7,1.3,22.9,67,86.4,78.6,12.4,4.0,23.6
Phlebotomists,139,90.3,61.3,20.2,9.7,19.9,114,87.9,59.0,22.0,7.9,20.2
Other healthcare support workers,237,72.1,65.8,22.3,7.1,17.8,228,70.1,67.9,23.8,5.3,15.2
