Occupation,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022
"Helpers--installation, maintenance, and repair workers",12,–,10,–
"Other installation, maintenance, and repair workers",124,"1,014",139,910
,,,,
"Production, transportation, and material moving occupations","15,977",869,"16,076",821
Production occupations,"7,313",895,"7,352",862
First-line supervisors of production and operating workers,714,"1,175",753,"1,090"
"Aircraft structure, surfaces, rigging, and systems assemblers",14,–,8,–
"Electrical, electronics, and electromechanical assemblers",115,824,98,729
Engine and other machine assemblers,12,–,9,–
Structural metal fabricators and fitters,18,–,21,–
Other assemblers and fabricators,961,812,"1,014",774
Bakers,139,670,147,646
"Butchers and other meat, poultry, and fish processing workers",231,767,217,769
"Food and tobacco roasting, baking, and drying machine operators and tenders",2,–,3,–
Food batchmakers,57,810,58,722
Food cooking machine operators and tenders,8,–,11,–
"Food processing workers, all other",137,927,141,816
Computer numerically controlled tool operators and programmers,107,"1,055",69,"1,088"
"Forming machine setters, operators, and tenders, metal and plastic",28,–,27,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",68,780,57,815
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,25,–
"Other machine tool setters, operators, and tenders, metal and plastic",8,–,10,–
Machinists,284,"1,023",283,"1,036"
"Metal furnace operators, tenders, pourers, and casters",15,–,16,–
"Model makers and patternmakers, metal and plastic",5,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",29,–,16,–
Tool and die makers,31,–,40,–
"Welding, soldering, and brazing workers",498,"1,012",501,996
Other metal workers and plastic workers,347,855,393,862
Prepress technicians and workers,9,–,15,–
Printing press operators,117,869,123,798
Print binding and finishing workers,11,–,6,–
Laundry and dry-cleaning workers,92,665,75,624
"Pressers, textile, garment, and related materials",16,–,15,–
Sewing machine operators,103,673,87,631
Shoe and leather workers,6,–,9,–
"Tailors, dressmakers, and sewers",32,–,16,–
"Textile machine setters, operators, and tenders",17,–,16,–
Upholsterers,15,–,10,–
"Other textile, apparel, and furnishings workers",9,–,15,–
Cabinetmakers and bench carpenters,33,–,50,833
Furniture finishers,7,–,5,–
"Sawing machine setters, operators, and tenders, wood",16,–,24,–
"Woodworking machine setters, operators, and tenders, except sawing",28,–,18,–
Other woodworkers,15,–,18,–
"Power plant operators, distributors, and dispatchers",41,–,20,–
Stationary engineers and boiler operators,72,"1,328",87,"1,173"
Water and wastewater treatment plant and system operators,89,961,93,"1,170"
Miscellaneous plant and system operators,34,–,43,–
"Chemical processing machine setters, operators, and tenders",41,–,67,"1,047"
"Crushing, grinding, polishing, mixing, and blending workers",94,994,76,908
Cutting workers,50,826,50,709
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,–,12,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",8,–,9,–
"Inspectors, testers, sorters, samplers, and weighers",718,921,726,908
Jewelers and precious stone and metal workers,33,–,22,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,56,722,76,807
Packaging and filling machine operators and tenders,264,716,287,701
Painting workers,126,816,142,886
Photographic process workers and processing machine operators,18,–,9,–
Adhesive bonding machine operators and tenders,10,–,1,–
Etchers and engravers,5,–,3,–
"Molders, shapers, and casters, except metal and plastic",17,–,19,–
"Paper goods machine setters, operators, and tenders",15,–,15,–
Tire builders,10,–,8,–
Helpers--production workers,39,–,55,791
Other production equipment operators and tenders,7,–,8,–
Other production workers,"1,162",856,"1,106",815
Transportation and material moving occupations,"8,664",841,"8,724",796
Supervisors of transportation and material moving workers,313,"1,016",283,"1,015"
Aircraft pilots and flight engineers,173,"2,015",148,"1,774"
Air traffic controllers and airfield operations specialists,38,–,33,–
Flight attendants,74,961,90,971
"Ambulance drivers and attendants, except emergency medical technicians",13,–,13,–
"Bus drivers, school",115,660,120,726
"Bus drivers, transit and intercity",224,911,175,889
Driver/sales workers and truck drivers,"2,709","1,005","2,657",975
Shuttle drivers and chauffeurs,47,–,41,–
Taxi drivers,218,865,198,781
"Motor vehicle operators, all other",114,813,116,689
Locomotive engineers and operators,45,–,42,–
Railroad conductors and yardmasters,53,"1,642",41,–
Other rail transportation workers,27,–,18,–
Sailors and marine oilers,16,–,28,–
Ship and boat captains and operators,27,–,32,–
Ship engineers,3,–,7,–
Parking attendants,41,–,40,–
Transportation service attendants,44,–,62,611
Transportation inspectors,35,–,41,–
Passenger attendants,25,–,14,–
Other transportation workers,29,–,47,–
Crane and tower operators,55,"1,316",54,"1,134"
"Conveyor, dredge, and hoist and winch operators",21,–,21,–
Industrial truck and tractor operators,583,809,595,779
Cleaners of vehicles and equipment,299,694,243,659
"Laborers and freight, stock, and material movers, hand","1,584",765,"1,735",729
Machine feeders and offbearers,29,–,14,–
"Packers and packagers, hand",484,698,516,679
Stockers and order fillers,"1,084",706,"1,157",682
Pumping station operators,18,–,17,–
Refuse and recyclable material collectors,74,762,79,759
Other material moving workers,50,889,46,–
,,,,
